Outage_sec_perweek,Income,Contacts,Yearly_equip_failure,Bandwidth_GB_Year,DummyTechie,DummyOnlineSecurity,DummyPort_modem,DummyStreamingMovies,DummyStreamingTV,InternetService_DSL,InternetService_Fiber Optic,InternetService_NoInternet
10.84392109,6117.38,1,0,1541.134986,0,0,0,0,0,0,0,1
8.102739551,10429.51,1,1,2294.265591,0,1,0,1,1,1,0,0
7.353978,63348.18,0,0,1108.077901,1,0,0,1,0,1,0,0
9.5756,8589.52,0,1,5088.760007,0,0,0,0,0,0,1,0
6.063243,64284.53,0,0,1184.335827,0,0,0,0,0,1,0,0
7.872305,36983.01,1,0,1143.803066,0,1,1,0,0,1,0,0
13.65356,70673.64,1,1,1133.237154,0,1,1,0,0,1,0,0
11.35664,8080.22,1,0,1482.175651,0,0,1,0,1,0,0,1
10.35392,40165.02,0,0,4178.995617,1,0,1,0,1,0,1,0
13.71555406,35954.77,1,0,819.4195269,0,0,0,1,0,0,0,1
8.315119,10311.58,1,0,3170.023123,0,0,0,0,0,0,1,0
11.51565844,41527.17,1,0,1057.037731,0,0,0,1,0,1,0,0
5.411723,643.2,2,0,5785.930696,0,0,0,1,1,0,1,0
14.77266,97729.46,2,0,5553.7371,0,0,0,0,0,1,0,0
9.491553,52728.01,2,0,1045.602146,1,0,0,0,0,1,0,0
10.03734,56792.26,0,1,1076.672787,0,0,1,0,1,1,0,0
10.52187,8855.67,2,0,5429.870356,0,0,1,1,1,0,1,0
12.15309,27615.28,2,0,5936.910583,0,1,1,1,0,0,0,1
8.91884,42789.24,2,1,6916.339606,0,1,0,1,0,1,0,0
8.895333,58974.46,1,1,628.1057927,0,0,1,1,1,0,1,0
10.85134,38413.81,3,2,6121.333453,1,1,0,1,0,1,0,0
5.920795,6047.31,1,0,5878.566682,0,1,0,1,0,0,1,0
9.237924,52888.07,0,1,5953.601251,0,0,1,0,0,0,0,1
12.67661786,49915.86,2,1,927.5974127,0,1,1,1,0,0,1,0
8.711448,20637.36,2,1,943.0894026,0,1,0,1,0,0,1,0
13.085,13973.69,1,1,6420.370535,0,0,1,0,1,1,0,0
8.510764,71459.96,1,1,5678.725935,1,0,0,0,0,0,0,1
10.6619,82263.4,2,0,5646.886372,0,1,0,0,0,1,0,0
9.168597,28020.92,1,1,1282.568064,0,1,0,0,0,1,0,0
6.984431,68398.85,0,1,5874.0733,0,0,1,0,1,0,1,0
14.05088,23355.34,0,0,4932.430411,0,1,0,0,0,1,0,0
5.086843,52543.98,2,0,5777.144351,0,1,1,0,1,0,1,0
13.54895,12002.38,0,1,2322.340226,0,0,0,0,1,1,0,0
12.2246,30255.22,0,1,977.9075314,1,0,1,1,1,0,1,0
10.48202,24491.2,1,1,5280.797475,0,1,1,1,0,0,1,0
15.3584,67377.48,1,0,6253.087064,0,1,0,1,0,0,0,1
9.07607,54271.05,1,0,5588.162385,1,0,0,1,0,0,1,0
8.642754,11943.45,2,1,1872.389857,0,0,1,1,1,0,1,0
10.00892011,32720.43,1,0,3098.243332,0,1,0,1,1,1,0,0
5.443862,43447.28,2,0,1386.235112,0,0,1,1,1,0,1,0
11.60691,54264.21,0,0,1045.005193,0,0,0,1,1,0,0,1
7.908634,21061.0,0,1,959.4182525,0,1,0,1,0,0,1,0
11.87571,10040.11,1,1,4903.899257,0,0,0,0,1,0,1,0
19.71756,17922.3,2,1,4756.00161,0,0,0,1,1,0,0,1
17.23011599,80906.28,2,0,1080.597617,0,1,0,0,0,1,0,0
8.669204519,26204.77,1,0,2270.749222,0,0,1,1,1,1,0,0
7.051157559,45734.73,0,0,1330.988714,0,0,1,1,1,1,0,0
9.015171,11981.42,2,0,4688.843781,0,0,1,0,1,0,0,1
8.249879184,29093.29,1,1,409.5740796,0,1,1,0,0,0,1,0
9.353272,45285.69,1,0,6157.745923,1,1,0,1,1,0,1,0
6.912239,11731.88,1,0,484.8655509,0,0,0,0,0,0,1,0
1.726524839,73645.85,0,0,810.4941232,0,0,1,0,0,0,1,0
4.868079,40588.2,0,0,901.932094,0,0,1,0,1,0,0,1
7.09874,37475.72,1,0,1190.326671,0,1,0,0,0,1,0,0
9.846701,42590.57,0,0,4989.154555,0,0,1,1,0,0,1,0
11.31643,32765.97,1,0,4979.183398,0,0,1,1,1,0,1,0
11.61603945,45020.08,0,0,1460.632443,0,1,1,0,1,0,1,0
12.18916,56844.86,2,0,1819.640333,1,1,0,1,0,0,0,1
14.11831,89377.1,2,0,373.4091813,0,0,1,1,0,0,1,0
7.519369,57786.83,2,0,1251.370897,1,0,1,0,1,0,1,0
1.923689,35731.92,1,1,5468.830044,0,0,1,1,1,0,0,1
6.095828,62420.93,3,1,6686.415286,0,1,0,0,1,1,0,0
12.16386,17199.86,1,1,4667.397297,0,1,0,0,0,0,1,0
11.16639,43415.81,1,1,1115.211468,0,0,1,0,1,0,0,1
11.5315,24707.03,1,0,5345.265159,0,0,0,0,0,0,1,0
9.699545,4551.4,2,0,5858.190319,0,1,0,0,1,0,1,0
10.30866,94629.64,1,0,2435.584022,0,0,1,0,0,1,0,0
9.470573,6494.55,0,2,6177.436257,0,1,1,0,1,0,1,0
5.261171,10270.29,0,1,585.3561113,1,0,0,0,1,0,1,0
12.79546,29602.2,2,0,1066.183659,0,0,1,1,0,1,0,0
10.71465,24242.34,0,2,4597.940128,1,1,0,0,0,0,0,1
10.48815,38532.04,2,0,1306.002586,0,1,1,0,1,1,0,0
12.19855,71367.15,3,0,4646.442659,0,1,1,1,0,0,1,0
11.01585,11150.32,1,2,6172.3134,0,0,0,0,1,1,0,0
9.58651,30332.37,1,0,6605.569716,0,1,1,0,1,1,0,0
11.69889,44526.16,1,1,2396.551383,0,1,0,1,0,1,0,0
16.79023,18445.73,1,0,2031.234186,0,1,1,1,1,0,1,0
9.495849,83444.23,4,0,4889.562199,0,1,0,1,1,0,1,0
15.97282,17429.01,5,1,1170.725967,0,0,0,1,0,0,1,0
10.57011,35053.42,2,0,5870.569243,0,1,0,1,0,1,0,0
10.21531,43769.45,0,0,2082.760575,0,0,1,0,1,0,0,1
10.30218,45244.55,1,1,5857.937007,1,0,0,0,1,0,1,0
9.927146707,94903.08,1,0,1299.5973,0,0,0,0,0,0,1,0
4.440377,12746.57,0,0,4517.31047,1,0,1,0,1,0,1,0
5.881182,33035.98,2,0,1574.707587,0,1,0,0,0,1,0,0
9.182092,58563.96,1,0,610.2392527,0,0,1,0,0,0,1,0
6.888013,11566.91,3,0,5009.452903,0,1,0,0,0,0,1,0
12.81300692,40743.83,0,0,1914.400241,0,0,0,0,1,0,1,0
13.41209586,11518.58,3,0,1205.956363,1,1,0,1,0,1,0,0
8.278435,22780.89,0,1,2288.984083,0,0,0,1,0,0,0,1
7.235107,5096.68,1,0,5252.083564,1,1,0,1,1,0,0,1
7.329087,35180.11,0,0,5485.07682,0,1,0,0,1,0,0,1
12.44739,24352.1,0,0,1525.934554,0,0,0,1,1,0,1,0
11.52687,20297.39,0,0,1078.567268,0,0,1,0,1,1,0,0
8.985947449,8515.02,0,0,1357.774068,0,0,0,1,0,0,1,0
9.837735,81716.87,1,1,5558.549267,1,0,0,1,1,0,0,1
11.25565,36890.17,0,0,5971.138391,0,0,0,1,1,1,0,0
15.08558131,22139.13,1,0,2138.661668,0,0,1,1,1,1,0,0
14.0419,29311.58,1,2,1893.24474,1,1,1,0,1,0,1,0
8.76195,22290.4,0,1,1640.268544,0,1,1,1,1,1,0,0
12.75083,9384.69,0,0,5027.584509,0,0,1,1,1,1,0,0
13.05308,25381.91,2,0,5429.301177,0,1,1,0,1,0,0,1
10.25863,10651.08,1,2,5754.802766,0,0,1,0,1,0,1,0
13.16758,50335.96,1,0,1771.091615,1,1,0,1,1,1,0,0
9.614567,28053.3,2,0,1638.668955,0,1,1,0,0,1,0,0
13.87646,58263.78,2,2,3495.928662,0,1,0,0,0,0,1,0
6.003569,33081.89,2,0,6235.066316,0,1,1,0,0,1,0,0
7.935437,17885.01,0,0,5653.372513,0,0,1,0,0,1,0,0
9.196199,7828.87,2,0,5950.933762,0,0,0,0,0,1,0,0
9.26498924,56372.08,0,0,1782.558347,0,1,0,0,1,1,0,0
12.88305,13865.91,0,0,5080.902489,0,0,0,1,0,0,1,0
12.1986895,31300.68,2,0,1889.642423,0,0,0,0,1,0,1,0
13.29045,48257.2,2,0,4912.958462,0,0,1,1,1,0,1,0
13.82399,11738.87,1,0,6570.010431,0,0,1,1,1,1,0,0
14.89692,39966.91,1,0,5061.170302,0,1,1,0,1,0,1,0
7.739197,16834.95,2,1,5910.417848,0,0,0,0,0,0,1,0
13.52153,11575.14,0,0,5783.315378,0,1,1,1,0,0,1,0
6.397555,20631.55,1,0,5398.88963,1,1,0,1,0,0,1,0
6.622338,28436.06,0,0,6722.143611,0,0,0,0,1,1,0,0
13.51163,51826.63,0,3,6396.472998,0,1,1,1,0,0,1,0
12.03055,25280.79,0,1,2082.052634,0,0,1,1,0,1,0,0
8.417611,7418.73,1,0,1288.15613,0,1,1,1,1,0,1,0
12.767,27006.97,1,0,6001.171287,0,0,0,1,0,1,0,0
13.47098,66923.76,0,0,5533.105998,0,0,0,1,0,0,1,0
7.891108,44554.14,1,0,5780.016925,0,0,1,1,1,0,0,1
8.064807,61901.7,0,0,989.3430051,0,0,1,0,1,0,1,0
6.913914,7016.66,0,0,1818.78969,1,0,0,0,0,0,1,0
6.900504,72764.42,0,1,787.3445005,0,1,1,0,0,0,1,0
10.76198,66698.79,0,0,1880.847695,0,0,1,1,1,1,0,0
11.97978,15054.79,0,0,5451.095048,0,1,0,1,1,0,0,1
9.233657,37021.79,1,1,6176.145515,0,0,1,1,1,0,0,1
5.417835,26719.24,1,0,5281.851852,0,0,0,1,0,1,0,0
13.88216,29958.36,0,0,936.2693881,0,1,0,1,0,0,1,0
12.25181,68325.35,1,2,605.6512541,0,1,0,1,0,0,1,0
7.924814,20544.64,1,0,5779.189603,0,1,0,0,1,0,0,1
11.7278,28963.75,1,2,2246.098296,0,0,0,0,1,0,1,0
10.31104,18848.82,0,1,4300.642039,0,0,0,1,0,0,0,1
10.13592,61256.1,3,1,4869.168543,0,1,0,0,0,0,1,0
3.564651961,70476.82,2,0,1066.632555,0,0,0,0,0,1,0,0
7.390473,25712.78,0,0,2157.669912,1,0,1,1,1,0,1,0
12.26166,11529.46,0,0,517.420314,1,0,1,0,0,0,1,0
8.296729,15148.5,2,1,5621.504803,0,0,0,1,0,0,1,0
9.367555,70844.17,0,1,1169.714886,0,0,0,0,1,0,1,0
7.930711,40554.25,0,0,5653.877056,0,0,1,0,0,0,1,0
10.35914,15550.06,2,1,5437.952701,0,0,0,0,1,0,0,1
14.34560232,73919.79,1,1,692.3788089,0,1,1,1,0,0,1,0
12.92745,31359.19,1,2,6548.096564,0,1,1,1,0,1,0,0
11.74732,28502.49,0,0,5800.854441,0,1,1,0,0,1,0,0
6.551988,21542.79,1,1,1046.765683,0,0,0,0,1,1,0,0
12.71148,2534.94,3,1,5265.959419,0,0,1,0,0,0,0,1
11.44144,62613.43,1,1,5499.748153,0,0,1,0,0,0,1,0
17.90595,13961.97,1,0,863.2029351,0,0,0,0,1,0,1,0
9.048196,8947.57,2,0,5278.976104,1,0,0,1,0,0,0,1
9.051251778,49740.98,0,0,1848.639719,0,1,0,0,0,1,0,0
10.4255,65472.96,1,0,1923.446501,0,0,0,1,1,1,0,0
9.597592484,25808.98,3,0,1228.657511,0,0,1,0,1,1,0,0
8.613955,24372.17,0,0,981.3822842,1,0,0,1,1,0,0,1
10.80599,6034.69,2,0,5718.68358,1,0,0,0,0,0,1,0
7.619574,55794.29,0,0,1636.905029,1,0,0,0,0,1,0,0
11.79419,12473.92,1,0,4569.936966,0,0,0,1,0,0,1,0
14.57549,88400.03,0,0,1494.533376,0,0,0,1,1,1,0,0
7.104001873,100033.86,2,2,505.6979276,1,0,0,0,1,0,0,1
9.295079,54776.36,1,1,5379.145841,0,1,1,1,0,0,1,0
5.10323,66370.29,2,1,6399.072403,1,1,1,0,1,0,1,0
7.839192,49718.59,2,2,2585.068343,0,0,1,1,0,0,1,0
12.56509,92162.79,0,1,5805.233954,1,1,0,0,0,0,1,0
7.713017,30898.32,1,0,1206.875735,0,0,0,1,1,1,0,0
9.505342,41221.83,1,1,223.4765826,0,0,0,0,0,0,1,0
9.409854,9119.54,0,0,1613.670166,0,0,0,0,0,1,0,0
11.34243,13585.86,0,1,4549.059635,0,0,1,1,1,0,1,0
14.06274,78411.45,3,0,4984.78563,0,0,0,0,1,1,0,0
9.675355,5411.4,0,1,5271.605896,1,0,1,1,1,0,0,1
13.01594,31294.84,2,1,950.7941169,0,0,1,1,0,0,0,1
12.2307,45288.02,0,2,1393.130581,1,0,1,1,0,0,0,1
9.622553575,49518.71,2,1,1526.143641,0,1,1,0,0,1,0,0
16.88041332,40529.84,1,0,2207.637213,0,0,1,1,0,1,0,0
8.718368,69425.74,2,1,6173.441338,0,1,0,0,0,0,0,1
4.472395,6484.19,2,1,450.2597019,0,0,1,0,0,0,1,0
7.085401,39116.35,1,1,5898.163738,0,1,1,1,1,0,1,0
15.10873,27938.0,3,0,5576.065751,0,0,1,0,1,0,1,0
12.83596,21790.0,0,0,941.2227255,1,0,0,0,0,0,1,0
3.741667,50100.2,0,0,6309.305361,0,1,0,0,1,0,0,1
5.74758,62969.23,1,1,5334.978423,0,1,0,1,1,0,0,1
7.491292,8641.78,1,0,1225.408596,0,0,0,0,1,1,0,0
11.69011,47565.61,1,1,6554.853473,0,0,1,0,1,1,0,0
15.72132,78311.31,0,1,6121.797944,0,0,1,0,1,1,0,0
8.989551,71560.17,2,0,1745.07852,0,0,0,1,0,1,0,0
12.32015,12944.52,0,0,6208.310064,1,0,0,1,0,1,0,0
12.69711858,37773.19,1,1,1404.773397,0,0,1,0,0,1,0,0
12.32023424,11667.32,2,1,509.1865112,1,0,1,0,1,0,1,0
12.75802,21902.4,3,0,2097.12893,0,1,1,0,0,0,1,0
16.82309021,29361.24,3,1,729.7054333,0,1,0,1,0,0,1,0
14.16682,32250.13,4,1,5571.246619,0,0,1,1,0,0,1,0
6.008081,63977.13,0,0,6160.553033,0,1,1,1,0,0,0,1
12.08713,19167.82,1,2,356.9526336,0,0,1,0,1,0,0,1
17.76091,32833.84,0,0,5243.121015,0,1,0,0,0,0,1,0
11.61504,46453.81,1,0,6195.495314,0,1,0,0,1,1,0,0
9.0983,15652.5,0,0,4983.295874,1,1,1,1,0,0,0,1
11.60075,31962.04,2,1,5510.855205,0,0,0,1,1,0,1,0
7.796747,53645.56,0,0,6013.656205,1,1,0,1,0,0,0,1
7.325364653,21168.49,2,0,567.3663629,0,0,1,0,0,0,1,0
7.410590719,32652.3,0,1,1805.011298,1,0,0,0,1,1,0,0
8.738173,17104.77,2,0,1307.834074,0,1,0,0,1,0,0,1
9.79011,25776.46,1,0,1598.041286,0,0,0,1,0,1,0,0
11.09637,115681.5,1,0,396.3110471,0,1,1,0,0,0,0,1
8.891296,44495.59,3,0,6093.079399,0,1,0,1,1,0,0,1
8.760632,46336.84,0,1,684.120914,0,1,1,0,0,0,1,0
11.38646956,39933.38,1,1,1275.194778,0,0,0,0,0,1,0,0
6.536395,14235.87,2,0,5006.557282,0,0,1,0,1,0,1,0
10.77653,23589.3,2,0,6469.664211,0,0,0,1,0,1,0,0
7.20065374,17101.08,2,0,1756.819542,0,1,1,1,0,1,0,0
6.665106,12122.59,3,1,1019.803014,0,1,0,1,0,0,0,1
5.29024,25588.69,3,0,2534.437264,0,1,1,1,0,0,1,0
8.543534,44732.75,2,1,5265.014414,0,0,0,0,1,0,0,1
8.466816,36024.36,1,0,1297.915797,1,0,0,0,1,0,0,1
6.771224401,74719.96,0,0,1091.751973,1,0,0,0,0,0,0,1
9.020396,18213.56,2,0,4573.084997,1,0,1,0,0,0,1,0
6.221255,17286.64,1,0,5976.368221,0,1,1,1,1,1,0,0
11.24862413,49397.46,3,0,1069.849043,1,0,0,0,1,0,1,0
12.09365,29161.86,0,0,5903.302417,0,0,1,1,1,0,1,0
3.957036,12619.97,0,0,4439.411899,1,1,1,0,0,0,1,0
10.35374,120301.3,2,0,1367.297406,0,0,1,1,1,0,1,0
11.2971,4397.39,1,1,961.4048126,0,0,1,1,0,0,1,0
8.654216,28507.21,1,0,1189.368234,0,1,0,0,0,1,0,0
6.529769,59751.46,1,0,5808.222175,0,0,1,0,1,0,1,0
10.43871,10588.62,4,0,6178.148263,0,1,1,1,1,0,1,0
7.755985,26190.71,0,0,721.3139824,1,0,1,1,0,0,0,1
11.6443975,6170.55,0,1,1614.544362,0,0,1,1,0,0,1,0
11.38860234,33343.73,1,0,822.3008694,0,1,0,0,1,0,0,1
10.77736,11369.93,3,0,6337.777813,0,0,0,1,1,0,0,1
9.303023,23670.0,0,0,5849.463694,1,0,0,0,0,1,0,0
15.15802,25532.76,0,3,5689.932511,0,0,1,0,1,0,0,1
8.802883,32185.18,2,0,932.7790894,0,1,0,0,1,0,1,0
5.186747,52994.02,0,1,4163.015502,0,0,0,0,0,0,1,0
13.54241,33751.2,0,0,5271.168703,0,0,0,0,1,0,1,0
11.07048,14428.38,2,0,1531.239282,0,0,1,1,0,1,0,0
8.634479,11602.24,0,0,5099.928127,0,1,1,0,0,1,0,0
10.85287,39369.75,3,0,1317.388693,0,0,1,0,1,0,1,0
11.64845286,23660.7,1,1,1329.24842,0,0,0,1,1,0,1,0
11.20969,10242.19,2,0,5601.799448,0,0,0,1,0,0,1,0
7.799780591,22466.53,1,0,1381.538548,0,1,0,0,0,0,0,1
6.463138,40574.0,1,0,1292.234972,0,0,1,0,0,0,1,0
10.87091,24225.45,0,0,4073.89846,0,0,0,0,0,0,1,0
10.91998,40719.95,0,0,602.6894614,1,0,1,0,0,0,1,0
9.467795,32947.81,0,0,4267.319291,0,0,1,0,1,0,0,1
11.88224,15157.92,2,0,6814.653649,1,1,0,1,1,1,0,0
6.286550988,35891.67,1,2,1570.345219,0,1,0,0,0,1,0,0
9.321265424,27235.54,0,0,1811.964373,0,0,0,1,1,0,0,1
12.12826,24040.95,0,0,6111.281156,0,1,0,0,0,0,1,0
12.33102,23089.13,0,0,1245.735579,1,0,1,1,0,0,1,0
8.516783,32733.34,1,1,1499.696874,0,1,1,0,1,1,0,0
9.423473,13880.01,1,0,6125.213003,0,1,1,1,1,0,1,0
7.389506,27967.87,1,0,1532.242102,0,0,0,0,1,0,1,0
12.86128,18543.4,0,0,3145.639435,0,1,1,0,0,0,1,0
4.261131,58077.49,2,0,1448.715638,0,0,1,1,0,0,0,1
8.819943,11872.63,1,2,6312.284353,0,0,1,0,1,1,0,0
13.87286,117089.4,1,0,6703.314017,1,1,0,1,1,1,0,0
13.16243,8626.93,1,0,1187.710162,0,1,1,0,1,0,1,0
10.68604,26917.26,0,1,5809.037267,1,0,1,0,0,0,0,1
6.213658,26013.93,0,0,5953.091281,0,1,0,0,0,0,1,0
10.24939,66115.1,1,0,6366.330959,1,1,1,1,1,0,1,0
6.085329,18957.86,0,2,6317.989438,0,1,1,1,0,1,0,0
3.992429,32183.92,1,1,3866.67814,1,0,1,1,0,0,0,1
6.520003,30874.05,0,0,6184.630782,0,0,1,1,0,1,0,0
12.69621,75255.33,0,0,1176.673652,0,0,1,1,0,0,0,1
7.37357,52984.07,0,1,1152.131327,0,0,1,0,1,0,0,1
7.901381,27715.71,1,0,5192.718983,0,0,1,0,0,1,0,0
8.573587,2627.52,1,0,4995.383757,1,1,0,0,1,1,0,0
15.66367593,45148.38,1,0,943.3391244,1,0,1,0,0,0,1,0
8.650145,46183.09,0,0,1362.782508,1,0,1,1,1,0,1,0
10.56199,73309.86,2,0,5697.928731,0,1,0,1,1,1,0,0
6.336993,9019.07,1,0,6863.899773,0,0,1,1,1,1,0,0
9.263624334,78944.18,2,0,1120.116258,0,0,0,0,1,0,1,0
14.51717,5265.74,1,0,5186.100622,0,0,0,1,1,1,0,0
12.10602,22118.1,1,1,1553.257429,0,1,0,1,1,0,1,0
10.99334684,13337.97,1,1,839.4587853,0,0,0,0,1,0,1,0
7.01939,42242.38,1,0,6594.127635,0,1,1,1,1,1,0,0
15.17134,23995.11,0,0,6467.932969,0,1,1,1,1,1,0,0
11.89461,113912.9,0,0,6233.347563,0,0,1,0,1,1,0,0
6.075894,68169.91,2,0,6191.579895,0,0,0,1,1,1,0,0
11.35748,21603.64,0,0,2037.009094,0,1,0,0,1,1,0,0
5.670833,51383.17,0,0,6035.036634,0,1,0,1,0,0,1,0
9.617616,1817.99,1,0,1586.632329,0,1,1,0,0,1,0,0
10.87952,20659.21,1,0,2110.283707,0,1,0,1,1,1,0,0
11.73432,37990.93,0,0,4966.413605,0,0,1,1,1,1,0,0
11.08379,55755.9,0,0,607.6047155,0,0,1,0,1,0,1,0
12.69971233,35130.18,3,0,1919.921479,0,0,0,1,0,1,0,0
7.929892,30006.94,0,1,6309.777908,0,0,0,0,1,1,0,0
10.84557,52626.1,0,1,5839.250864,0,1,1,0,1,0,1,0
9.091339,74252.79,1,0,856.755649,0,0,0,1,0,0,1,0
11.38017,19713.67,3,0,1176.899402,1,0,1,1,0,0,0,1
8.568928,40134.85,3,1,568.2599017,1,1,0,0,1,0,1,0
4.999319,130732.2,0,0,1165.027263,0,1,1,0,0,0,0,1
12.56263,34629.11,0,0,4495.259979,0,0,0,0,0,0,1,0
9.491469,10325.85,1,2,1187.095148,0,0,0,1,1,0,1,0
11.55719,17020.84,5,0,4513.977095,0,1,0,1,0,1,0,0
14.68473,14829.89,0,0,5259.588349,0,1,0,0,1,0,0,1
5.058999,33601.53,1,1,2444.542685,0,0,0,0,0,1,0,0
10.23789,46120.24,1,0,4745.339554,0,0,1,0,0,0,1,0
9.762623,41237.45,1,0,5514.944335,0,0,0,0,1,0,1,0
10.1041,32917.33,1,0,6018.487781,1,0,0,0,0,1,0,0
7.044096971,25215.22,2,0,1201.484293,0,1,1,1,1,0,1,0
12.18282,58988.72,1,0,1495.619695,1,1,1,0,1,1,0,0
8.357857,21294.13,1,0,4149.822715,0,1,1,0,1,0,1,0
12.39438,4035.91,0,0,5507.18923,0,1,0,0,1,0,1,0
10.25329,41799.98,1,0,1593.998248,0,1,0,0,1,0,1,0
2.746480274,61714.39,2,2,1943.112927,0,0,1,0,0,0,0,1
14.57009,17165.11,1,0,808.4971819,0,0,0,0,0,0,1,0
8.483329,50420.55,1,0,4828.2039,1,1,1,0,1,1,0,0
10.06905,19460.56,0,0,1502.957327,0,1,0,0,0,0,0,1
11.13317,46602.46,0,1,5819.074546,0,1,1,1,0,0,0,1
11.8722,19708.53,2,0,4343.616747,0,0,1,0,1,0,1,0
9.407074462,27475.94,1,0,1668.961962,0,0,0,1,1,1,0,0
14.47447,33868.71,1,1,1214.354546,0,1,0,0,1,0,0,1
6.541451,84969.58,1,1,4661.218675,0,1,1,0,0,0,0,1
9.592787,35159.56,0,0,5949.914693,1,1,0,0,1,0,1,0
14.34431543,66365.07,0,0,586.1493754,0,0,0,0,0,0,1,0
8.634494,57023.3,2,0,6217.615271,0,0,0,0,1,0,1,0
6.625411,26909.8,2,2,6089.889713,0,0,1,1,0,1,0,0
